gene	lasso.top1_afr	lasso.top1_meta	lasso.top1_magepro	lasso.top1_afr_pv	lasso.top1_meta_pv	lasso.top1_magepro_pv	hsq_afr	hsq_afr_se	hsq_afr.pv	hsq_eur	hsq_eur_se	hsq_eur.pv	datasets	nonzeroAFR	nonzeroMAGEPRO	alpha_beta
ENSG00000002822.15	0.370882848090811	-0.00549143533393259	0.377033585636888	1.23462801292495e-09	0.453107606858115	8.35373382623533e-10	0.53494	0.114426	6.304e-05	NA	NA	NA	pred.wgt,pred.wgt.mesa	9	16	0.290355843569406,0.00525124455429008
ENSG00000002834.17	-0.0127262340181906	-0.0127262340181906	-0.0127262340181906	0.932310021829247	0.932310021829247	0.932310021829247	0.064251	NA	NA	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000002919.14	0.00552665723229606	0.0232234827469893	0.0685039198317716	0.233927228943029	0.0937697587768844	0.0108644395242687	0.301424	0.111784	0.008513	NA	NA	NA	pred.wgt,pred.wgt.genoa,pred.wgt.mesa	10	13	0.185486263398375,0.0147287459783721,0.00056681572771123
ENSG00000002933.7	0.254435953079311	0.222835157499537	0.272055361241118	1.09879152628564e-06	5.87472441925617e-06	4.19834148889963e-07	-0.06678	0.150125	0.3928	NA	NA	NA	pred.wgt,pred.wgt.mesa	2	5	0.160944868350352,0.0134760395430056
ENSG00000003137.8	0.224383452429187	0.224383452429187	0.224383452429187	5.41897076651984e-06	5.41897076651984e-06	5.41897076651984e-06	0.508891	0.112532	3.873e-05	NA	NA	NA	pred.wgt	9	9	NA
ENSG00000003147.17	0.00204996365362531	-0.00442407425106484	-0.00287020292738149	0.284316058339782	0.42184079230133	0.381714674129522	0.204956	0.187229	0.2074	NA	NA	NA	pred.wgt,pred.wgt.genoa	1	2	0.10146585916946,0.00077461145162516
ENSG00000003249.13	-0.0124280467158855	-0.0124280467158855	-0.0124280467158855	0.862405033366552	0.862405033366552	0.862405033366552	-0.12165	0.021818	0.1507	NA	NA	NA	pred.wgt	2	1	NA
ENSG00000003393.14	0.235967969248343	0.303993328386582	0.286054678942644	2.94844549333979e-06	6.94708135701937e-08	1.92552774124858e-07	0.532694	0.155322	0.0005996	NA	NA	NA	pred.wgt,pred.wgt.genoa,pred.wgt.mesa	7	12	0.16865337212446,0.0181963859444409,0.00288401028730874
ENSG00000003400.14	0.00988255267428462	0.00988255267428462	0.00988255267428462	0.184994156123684	0.184994156123684	0.184994156123684	0.118716	0.147674	0.2651	NA	NA	NA	pred.wgt	2	1	NA
ENSG00000003402.19	0.00684990788973716	0.00684990788973716	0.00684990788973716	0.21761698742249	0.21761698742249	0.21761698742249	0.197744	0.122491	0.08838	NA	NA	NA	pred.wgt	2	5	NA
ENSG00000003436.15	0.0423283729928868	0.0423283729928868	0.0423283729928868	0.0372401345031291	0.0372401345031291	0.0372401345031291	-0.09304	0.006363	0.04632	NA	NA	NA	pred.wgt	1	2	NA
ENSG00000003509.15	-0.0128042200575871	-0.0127861672720178	-0.0118900990367732	0.97183316368133	0.959113691605164	0.789556327683856	-0.043488	0.074497	0.3558	NA	NA	NA	pred.wgt,pred.wgt.genoa	1	2	0.0222193360196197,2.42343671248814e-06
ENSG00000003756.16	-0.00801542653457288	-0.00801542653457288	-0.00801542653457288	0.543788106550012	0.543788106550012	0.543788106550012	0.071861	0.057941	0.1122	NA	NA	NA	pred.wgt	1	2	NA
ENSG00000003987.13	-0.0128201438903646	-0.0128201438903646	-0.0128201438903646	0.995760650163892	0.995760650163892	0.995760650163892	-0.188676	0.065518	0.09498	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000003989.17	-0.00405317409352235	-0.00405317409352235	-0.00405317409352235	0.41172795549542	0.41172795549542	0.41172795549542	0.01352	0.109112	0.4645	NA	NA	NA	pred.wgt	2	3	NA
ENSG00000004059.10	0.0121491582639256	0.0121491582639256	0.0121491582639256	0.164248775062008	0.164248775062008	0.164248775062008	-0.031361	0.042523	0.3315	NA	NA	NA	pred.wgt	1	11	NA
ENSG00000004139.13	0.0494443347630167	0.0494443347630167	0.0494443347630167	0.0265866150822683	0.0265866150822683	0.0265866150822683	0.258052	0.124672	0.03093	NA	NA	NA	pred.wgt	4	5	NA
ENSG00000004142.11	-0.00992340164032557	-0.00992340164032557	-0.00992340164032557	0.6375151960431	0.6375151960431	0.6375151960431	0.010737	0.113862	0.4729	NA	NA	NA	pred.wgt	2	2	NA
ENSG00000004399.12	-0.00547935674030153	-0.00547935674030153	-0.00547935674030153	0.452734222014888	0.452734222014888	0.452734222014888	-0.080758	0.047096	0.2192	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000004455.16	0.0211960099743835	-0.0124818003466061	0.0624168185003713	0.103697995564479	0.872088962785117	0.014448453814987	0.152457	0.107404	0.07991	NA	NA	NA	pred.wgt,pred.wgt.mesa	2	5	0.253070933064439,0.0311549779036989
ENSG00000004468.12	-0.00848916500837316	-0.00848916500837316	-0.00848916500837316	0.564396564986262	0.564396564986262	0.564396564986262	-0.03425	0.101757	0.4104	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000004478.7	0.159645648263318	0.159645648263318	0.159645648263318	0.000142505833793242	0.000142505833793242	0.000142505833793242	-0.209513	0.083767	0.1171	NA	NA	NA	pred.wgt	2	2	NA
ENSG00000004487.15	-0.00387746974069447	0.00783743851481367	-0.000159840388034516	0.407060633648706	0.206311875560602	0.323457508663739	0.184172	0.150245	0.1275	NA	NA	NA	pred.wgt,pred.wgt.mesa	6	7	0.126324851486888,0.00106059018029241
ENSG00000004534.14	0.233375543935628	0.217253482742988	0.255566150452883	3.38098120268497e-06	7.85106625693374e-06	1.03366252652481e-06	0.325714	0.082784	3.419e-07	NA	NA	NA	pred.wgt,pred.wgt.genoa,pred.wgt.mesa	13	17	0.0680104733889338,0.00143643456340021,0.00335723871727153
ENSG00000004660.14	-0.000205460771404598	-0.000205460771404598	-0.000205460771404598	0.324336331091641	0.324336331091641	0.324336331091641	0.01308	0.079771	0.4514	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000004700.15	-0.00500477109468545	-0.00500477109468545	-0.00500477109468545	0.438430366040007	0.438430366040007	0.438430366040007	-0.016033	0.092213	0.4528	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000004766.15	0.021375659140567	0.021375659140567	0.021375659140567	0.102774367031593	0.102774367031593	0.102774367031593	-0.045362	0.056486	0.3503	NA	NA	NA	pred.wgt	2	3	NA
ENSG00000004776.12	0.0476248567603366	0.0476248567603366	0.0476248567603366	0.0289725802552029	0.0289725802552029	0.0289725802552029	-0.032463	0.082444	0.3992	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000004777.18	0.0159011477973283	0.0159011477973283	0.0159011477973283	0.135389135144914	0.135389135144914	0.135389135144914	0.21165	0.170718	0.1464	NA	NA	NA	pred.wgt	4	4	NA
ENSG00000004779.9	0.00550700668567383	0.00550700668567383	0.00550700668567383	0.234180143413997	0.234180143413997	0.234180143413997	-0.145188	0.001883	0.0485	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000004799.7	-0.0124628587029663	-0.00756643041053895	0.0331807743674847	0.868592093502081	0.525496210651948	0.05768998589061	-0.17773	0.031758	0.04204	NA	NA	NA	pred.wgt,pred.wgt.mesa	1	3	0.0528321846660263,0.00115263950802681
ENSG00000004809.13	0.123052680646001	0.0901261085830106	0.149929376305275	0.000833653582169157	0.00394763865580569	0.00022889911530673	0.074434	0.158531	0.3586	NA	NA	NA	pred.wgt,pred.wgt.mesa	2	8	0.227687416394197,0.00444390070867823
ENSG00000004838.13	-0.00412054833062703	-0.00412054833062703	-0.00412054833062703	0.413538339203339	0.413538339203339	0.413538339203339	0.059654	0.059946	0.192	NA	NA	NA	pred.wgt	7	7	NA
ENSG00000004864.13	0.0551095190053011	0.0233374891002607	0.00584737639720201	0.0203598698807702	0.093242541464405	0.22984493694796	0.097846	0.078716	0.1269	NA	NA	NA	pred.wgt,pred.wgt.genoa,pred.wgt.mesa	1	5	0.071975753627037,0.00222188881762502,0.00180332294561581
ENSG00000004866.20	-0.012782860313201	-0.0128198960840413	0.00852921690034325	0.957192322393461	0.994518799946618	0.198798786721369	-0.082095	0.113629	0.3307	NA	NA	NA	pred.wgt,pred.wgt.genoa	2	3	0.184858321739573,0.00170527542360361
ENSG00000004897.11	-0.0121423274255985	0.0248396199382603	0.0305996991127692	0.819768112541468	0.0865832607669289	0.0653569958022503	-0.063795	0.038817	0.2116	NA	NA	NA	pred.wgt,pred.wgt.genoa	1	2	0.034939824686528,0.01355687626983
ENSG00000004939.13	0.0035178856956174	0.0035178856956174	0.0035178856956174	0.261569984489919	0.261569984489919	0.261569984489919	0.466681	0.176378	0.01294	NA	NA	NA	pred.wgt	8	5	NA
ENSG00000004975.11	-0.00180486307513861	-0.00180486307513861	-0.00180486307513861	0.357247403765026	0.357247403765026	0.357247403765026	-0.065641	0.142975	0.3875	NA	NA	NA	pred.wgt	2	2	NA
ENSG00000005001.9	0.0102251255283725	0.0102251255283725	0.0102251255283725	0.181676031415874	0.181676031415874	0.181676031415874	0.151427	0.131403	0.1743	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000005007.12	-0.00465143333407236	-0.00465143333407236	-0.00465143333407236	0.42822229914296	0.42822229914296	0.42822229914296	-0.155881	0.039955	0.0681	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000005020.12	0.064344615830867	-0.00587723313945965	0.0689530114165738	0.0132005104563361	0.465291700856057	0.0106384444827693	0.466612	0.139991	0.00442	NA	NA	NA	pred.wgt,pred.wgt.mesa	7	11	0.148068711310463,0.000532158901869796
ENSG00000005059.15	0.0474104116460625	-0.00852731072340118	-0.0115883529259249	0.0292678035865658	0.566120328137701	0.758726813321165	-0.090261	0.049547	0.2289	NA	NA	NA	pred.wgt,pred.wgt.mesa	1	2	0.0587264582851871,0.000876582284402077
ENSG00000005075.15	0.0448488320913758	-0.00540007386127073	0.0522831000063264	0.0330410500199427	0.450295153118303	0.0232561090346046	0.085718	0.11762	0.2915	NA	NA	NA	pred.wgt,pred.wgt.genoa,pred.wgt.mesa	1	8	0.0358053241145847,0.00144707410061228,2.71868922496607e-05
ENSG00000005100.12	0.0207892247001478	0.0207892247001478	0.0207892247001478	0.105822529598263	0.105822529598263	0.105822529598263	-0.080307	0.084116	0.2954	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000005102.12	0.00566359985294596	0.00566359985294596	0.00566359985294596	0.232173691622545	0.232173691622545	0.232173691622545	0.065441	0.122507	0.3419	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000005156.11	-0.0119998494426923	-0.0124830642782996	-0.0127686958592146	0.802088272075338	0.872325829055149	0.949790743989952	0.525477	0.162143	0.008877	NA	NA	NA	pred.wgt,pred.wgt.mesa	12	13	0.280430815160778,0.000120081312157013
ENSG00000005175.9	0.012926408820109	-0.00223554538349591	0.011606782538478	0.157749135948398	0.366871231257662	0.168962392507023	-0.198065	0.02065	0.05439	NA	NA	NA	pred.wgt,pred.wgt.genoa,pred.wgt.mesa	1	5	0.0539835197772691,0.000105199632692922,0.000411317250941267
ENSG00000005187.11	0.0627150130616295	0.0627150130616295	0.0627150130616295	0.0142479283507343	0.0142479283507343	0.0142479283507343	0.098749	0.108149	0.2273	NA	NA	NA	pred.wgt	4	6	NA
ENSG00000005189.19	0.00885295729570434	0.00885295729570434	0.00885295729570434	0.195391750546028	0.195391750546028	0.195391750546028	-0.128044	0.014795	0.1685	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000005194.14	0.000423238681312221	0.000423238681312221	0.000423238681312221	0.312492708479697	0.312492708479697	0.312492708479697	-0.313347	0.000639	0.04063	NA	NA	NA	pred.wgt	1	2	NA
ENSG00000005206.16	0.0437855381125986	0.0437855381125986	0.0437855381125986	0.0347500047237119	0.0347500047237119	0.0347500047237119	-0.045124	0.083781	0.3645	NA	NA	NA	pred.wgt	1	2	NA
ENSG00000005238.19	0.101038289555798	0.101038289555798	0.101038289555798	0.00236402629341114	0.00236402629341114	0.00236402629341114	-0.054552	0.040842	0.2475	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000005243.9	-0.0124093525408393	-0.00630502882959294	-0.00714763741953006	0.859198949909071	0.479420644271422	0.509393255485769	-0.064121	0.034697	0.2083	NA	NA	NA	pred.wgt,pred.wgt.genoa	1	2	0.0666349689617733,0.00112599369611499
ENSG00000005249.12	-0.0113350199210214	-0.0113350199210214	-0.0113350199210214	0.735909734198333	0.735909734198333	0.735909734198333	-0.106977	0.056619	0.1885	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000005339.14	0.0732628309354084	0.0732628309354084	0.0732628309354084	0.0086953401346281	0.0086953401346281	0.0086953401346281	0.05641	0.118825	0.359	NA	NA	NA	pred.wgt	1	3	NA
ENSG00000005379.15	0.0601001388072937	0.0601001388072937	0.0601001388072937	0.0161063350305633	0.0161063350305633	0.0161063350305633	0.01704	0.066818	0.4247	NA	NA	NA	pred.wgt	1	2	NA
ENSG00000005381.7	0.0016574134834545	-4.21098522207508e-06	0.00617816137191063	0.290811119958568	0.320482728146396	0.225722737242574	-0.066806	0.040586	0.2117	NA	NA	NA	pred.wgt,pred.wgt.mesa	2	4	0.0859378107894233,0.00381409771628996
ENSG00000005421.8	-0.0110147370858542	-0.0110147370858542	-0.0110147370858542	0.709974456469972	0.709974456469972	0.709974456469972	0.199168	0.14017	0.1112	NA	NA	NA	pred.wgt	1	4	NA
ENSG00000005436.13	-0.00728113717265289	-0.00129446751871476	0.0205028950077719	0.514432401926714	0.346280143174622	0.107346013703316	0.043005	0.094277	0.3626	NA	NA	NA	pred.wgt,pred.wgt.genoa	1	4	0.11289405450004,0.00200074076311678
ENSG00000005448.16	-0.000915907285068407	-0.000915907285068407	-0.000915907285068407	0.338435418658671	0.338435418658671	0.338435418658671	-0.155455	0.014925	0.07597	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000005469.11	-0.0107054841366114	-0.0107054841366114	-0.0107054841366114	0.687310262638517	0.687310262638517	0.687310262638517	0.140542	0.104856	0.125	NA	NA	NA	pred.wgt	1	2	NA
ENSG00000005471.15	0.0499644915386888	0.00781326685257189	0.0060206903068849	0.0259419783380017	0.206580288480222	0.22767410798658	-0.058171	0.038841	0.2145	NA	NA	NA	pred.wgt,pred.wgt.genoa	1	3	0.010891262703327,0.00378231110950769
ENSG00000005483.20	-0.00807726100702499	-0.00807726100702499	-0.00807726100702499	0.546397912756811	0.546397912756811	0.546397912756811	0.167075	0.185362	0.2719	NA	NA	NA	pred.wgt	5	2	NA
ENSG00000005486.16	-0.0127896005746164	-0.000100269687416166	-0.0119112341319936	0.961209391387163	0.322314615978	0.791905734573691	-0.068014	0.044332	0.2902	NA	NA	NA	pred.wgt,pred.wgt.genoa	2	3	0.090578392810839,0.00831938371145096
ENSG00000005513.9	0.0554808876429354	0.0554808876429354	0.0554808876429354	0.0200074953000954	0.0200074953000954	0.0200074953000954	-0.08929	0.095518	0.2848	NA	NA	NA	pred.wgt	1	2	NA
ENSG00000005700.14	0.0150013703757892	-0.00422158547021811	0.0205626803844154	0.141758448312546	0.416275165225081	0.107025971908955	0.266661	0.273986	0.259	NA	NA	NA	pred.wgt,pred.wgt.mesa	2	4	0.184204929677823,0.00242253439368788
ENSG00000005801.16	0.156514426356007	0.145245999558362	0.200120565999112	0.000166088921457288	0.000287255594354708	1.89175229523752e-05	0.389544	0.106352	0.0009689	NA	NA	NA	pred.wgt,pred.wgt.genoa,pred.wgt.mesa	5	9	0.402651765395534,0.00252486132914997,0.00107053631245853
ENSG00000005810.17	0.0255770022808767	0.0255770022808767	0.0255770022808767	0.083500926519069	0.083500926519069	0.083500926519069	0.226276	0.153587	0.1332	NA	NA	NA	pred.wgt	9	12	NA
ENSG00000005812.10	0.0080530671436172	0.0080530671436172	0.0080530671436172	0.203935278284591	0.203935278284591	0.203935278284591	0.499845	0.130879	0.0008184	NA	NA	NA	pred.wgt	10	12	NA
ENSG00000005844.17	0.0409977532407665	0.0409977532407665	0.0409977532407665	0.0396737888105934	0.0396737888105934	0.0396737888105934	0.21174	0.109294	0.02974	NA	NA	NA	pred.wgt	4	3	NA
ENSG00000005882.11	-0.000585652489154986	-0.000585652489154986	-0.000585652489154986	0.331783151476207	0.331783151476207	0.331783151476207	0.19888	0.138942	0.1145	NA	NA	NA	pred.wgt	4	7	NA
ENSG00000005884.17	0.0703497835257749	0.00861304753195369	0.0430711734464438	0.00996523094510907	0.197910025331858	0.0359487190721478	-0.07601	0.105721	0.3299	NA	NA	NA	pred.wgt,pred.wgt.genoa	1	2	0.0616893941137181,0.00919915878675947
ENSG00000005961.17	-0.0118967039735145	-0.0118967039735145	-0.0118967039735145	0.79028744841206	0.79028744841206	0.79028744841206	0.131572	0.106636	0.1329	NA	NA	NA	pred.wgt	4	3	NA
ENSG00000006007.11	0.0156378422882825	0.0355788705427131	0.0310134336657653	0.137219768237592	0.0514039332091028	0.0640597729643488	0.100604	0.134309	0.2789	NA	NA	NA	pred.wgt,pred.wgt.genoa,pred.wgt.mesa	3	11	0.0622725342761616,0.00222182011832561,0.00150175350059475
ENSG00000006015.17	0.0536423317299554	-0.00598820317980242	0.0032996166002921	0.0218145645084062	0.468892134534409	0.264806381522875	-0.170299	0.05035	0.08382	NA	NA	NA	pred.wgt,pred.wgt.mesa	1	6	0.0778975656371502,0.00747622282376507
ENSG00000006016.10	-0.00523277039928716	-0.00523277039928716	-0.00523277039928716	0.445214307003422	0.445214307003422	0.445214307003422	-0.133409	0.05656	0.1157	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000006025.11	-0.00444014443106244	-0.01214727257061	-0.00412708959439456	0.422287196342772	0.820415380278616	0.413714725741071	0.080953	0.081612	0.2025	NA	NA	NA	pred.wgt,pred.wgt.mesa	3	4	0.11546594136978,0.00396509560703719
ENSG00000006042.11	-0.0119203739505596	-0.0119203739505596	-0.0119203739505596	0.792930762362446	0.792930762362446	0.792930762362446	0.090014	0.157272	0.3336	NA	NA	NA	pred.wgt	2	2	NA
ENSG00000006047.12	0.00900367769498611	0.00900367769498611	0.00900367769498611	0.19382855526974	0.19382855526974	0.19382855526974	0.282048	0.181618	0.1173	NA	NA	NA	pred.wgt	4	3	NA
ENSG00000006062.14	-0.00675207215434992	-0.00675207215434992	-0.00675207215434992	0.494944806980998	0.494944806980998	0.494944806980998	-0.052363	0.043404	0.2579	NA	NA	NA	pred.wgt	1	2	NA
ENSG00000006118.14	-0.0121299097412491	-0.0121299097412491	-0.0121299097412491	0.818153621001917	0.818153621001917	0.818153621001917	0.277352	0.169398	0.1023	NA	NA	NA	pred.wgt	5	4	NA
ENSG00000006125.17	0.0196285418043801	-0.00235662313318352	0.0691368697381397	0.112146384458314	0.369640608415938	0.0105472874513697	-0.045509	0.058696	0.3193	NA	NA	NA	pred.wgt,pred.wgt.mesa	1	2	0.0924030237585894,0.0137337316085096
ENSG00000006194.9	-0.00972036868115178	-0.00972036868115178	-0.00972036868115178	0.625952898980025	0.625952898980025	0.625952898980025	0.065205	0.103097	0.3051	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000006210.6	-0.00832168034908509	-0.00832168034908509	-0.00832168034908509	0.55694528314385	0.55694528314385	0.55694528314385	-0.267268	0.073481	0.1712	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000006282.20	0.455298100207065	0.133953281642832	0.500597371743966	4.07766072399458e-12	0.000495022961537023	1.32042506483221e-13	0.67191	0.123472	4.824e-05	NA	NA	NA	pred.wgt,pred.wgt.genoa,pred.wgt.mesa	4	19	0.326192107977086,0.02356579235611,0.0267244426946807
ENSG00000006327.13	-0.011927308367407	-0.011927308367407	-0.011927308367407	0.793712167324311	0.793712167324311	0.793712167324311	0.037049	0.156784	0.43	NA	NA	NA	pred.wgt	1	3	NA
ENSG00000006432.15	0.00130150049137945	0.00130150049137945	0.00130150049137945	0.296862087281227	0.296862087281227	0.296862087281227	0.102867	0.122007	0.2564	NA	NA	NA	pred.wgt	1	2	NA
ENSG00000006451.7	0.0418510812159447	0.0418510812159447	0.0418510812159447	0.0380949567098572	0.0380949567098572	0.0380949567098572	0.23235	0.124457	0.06882	NA	NA	NA	pred.wgt	3	4	NA
ENSG00000006453.13	0.0018472639775976	-0.0105737043124436	-0.00319513019717821	0.287646916024073	0.678236049557044	0.38963978188615	-0.110706	0.009128	0.06908	NA	NA	NA	pred.wgt,pred.wgt.genoa	1	2	0.0190897617596463,0.00161055229260592
ENSG00000006459.10	0.0576615703178283	0.0576615703178283	0.0576615703178283	0.0180592263825765	0.0180592263825765	0.0180592263825765	-0.205798	0.013383	0.043	NA	NA	NA	pred.wgt	4	4	NA
ENSG00000006530.15	0.0581274983451867	0.0581274983451867	0.0581274983451867	0.0176684588397196	0.0176684588397196	0.0176684588397196	0.051578	0.156255	0.4092	NA	NA	NA	pred.wgt	1	1	NA
ENSG00000006534.15	0.0146074354168119	-0.00531748484130135	-0.00730354985130077	0.144650479568843	0.447775908308789	0.515286835427322	0.079298	0.12728	0.318	NA	NA	NA	pred.wgt,pred.wgt.mesa	2	3	0.108790188591306,4.05899715938864e-05
ENSG00000006555.10	-0.0122248228534554	-0.0122248228534554	-0.0122248228534554	0.830911939236154	0.830911939236154	0.830911939236154	0.233764	0.129374	0.06841	NA	NA	NA	pred.wgt	6	2	NA
ENSG00000006576.16	0.0145965666471397	0.0145965666471397	0.0145965666471397	0.144731191004986	0.144731191004986	0.144731191004986	0.493481	0.179886	0.007594	NA	NA	NA	pred.wgt	14	16	NA
ENSG00000006607.13	0.137910388826458	0.162149707352623	0.147980036583473	0.000409287303606116	0.000126042697779372	0.000251616179443629	0.253182	0.105082	0.01446	NA	NA	NA	pred.wgt,pred.wgt.genoa	3	6	0.138387900574176,1.71814587177099e-05
ENSG00000006625.17	-0.0119091047783937	-0.011384996346802	0.00986937488365813	0.791667719549685	0.740230044734982	0.185123168969776	-0.019144	0.072337	0.429	NA	NA	NA	pred.wgt,pred.wgt.mesa	1	2	0.0667279608690963,0.00686125943156349
ENSG00000006634.7	0.111881943812928	0.0262651028212419	0.0349173498767797	0.00141693198966502	0.0807293203597594	0.0530634913184988	-0.030956	0.087611	0.4086	NA	NA	NA	pred.wgt,pred.wgt.genoa	1	2	0.0437236739988762,0.0106851075798005
